r,r_dB,eta,M,gamma,sigma,var_exact,rate_per_mode,shots_resolve,fit_slope,fit_R2
0.3,2.606,0.5,50,0.6456563062257954,1.0,1.7833307838600265e-20,0.9094643801264268,1.6049977054740233e-17,-0.8943854104402053,0.9995300880655195
0.3,2.606,0.3,1,0.3469638101509812,1.0,0.09585073023810936,0.66429428596738,86.2656572142984,-0.6400258434057803,0.998407336146771
0.3,2.606,0.3,2,0.3469638101509812,1.0,0.08946922263366505,0.66429428596738,80.52230037029854,-0.6400258434057803,0.998407336146771
0.3,2.606,0.3,4,0.3469638101509812,1.0,0.03938725135279614,0.66429428596738,35.448526217516516,-0.6400258434057803,0.998407336146771
0.3,2.606,0.3,8,0.3469638101509812,1.0,0.003974357110695179,0.66429428596738,3.5769213996256606,-0.6400258434057803,0.998407336146771
0.3,2.606,0.3,16,0.3469638101509812,1.0,2.331577561750898e-05,0.66429428596738,0.020984198055758078,-0.6400258434057803,0.998407336146771
0.3,2.606,0.3,32,0.3469638101509812,1.0,5.853653445025362e-10,0.66429428596738,5.268288100522825e-07,-0.6400258434057803,0.998407336146771
0.3,2.606,0.3,50,0.3469638101509812,1.0,3.758532665838336e-15,0.66429428596738,3.382679399254502e-12,-0.6400258434057803,0.998407336146771
0.3,2.606,0.1,1,0.10472507345521934,1.0,0.03287962591697191,0.30428476191871423,29.591663325274713,-0.2527071552795862,0.9828153789561217
0.3,2.606,0.1,2,0.10472507345521934,1.0,0.04742629371808693,0.30428476191871423,42.68366434627823,-0.2527071552795862,0.9828153789561217
0.3,2.606,0.1,4,0.10472507345521934,1.0,0.04936275945489388,0.30428476191871423,44.426483509404484,-0.2527071552795862,0.9828153789561217
0.3,2.606,0.1,8,0.10472507345521934,1.0,0.026793576270280665,0.30428476191871423,24.114218643252595,-0.2527071552795862,0.9828153789561217
0.3,2.606,0.1,16,0.10472507345521934,1.0,0.00397960802998211,0.30428476191871423,3.581647226983898,-0.2527071552795862,0.9828153789561217
0.3,2.606,0.1,32,0.10472507345521934,1.0,4.532493501782463e-05,0.30428476191871423,0.04079244151604216,-0.2527071552795862,0.9828153789561217
0.3,2.606,0.1,50,0.10472507345521934,1.0,2.216525354790131e-07,0.30428476191871423,0.00019948728193111177,-0.2527071552795862,0.9828153789561217
0.5,4.343,1.0,1,2.718281828459045,1.0,0.12545041917148825,1.5622002500464998,112.9053772543394,-1.5570099975115324,0.999966219270897
0.5,4.343,1.0,2,2.718281828459045,1.0,0.03686963180652548,1.5622002500464998,33.18266862587292,-1.5570099975115324,0.999966219270897
0.5,4.343,1.0,4,2.718281828459045,1.0,0.0018824502696179232,1.5622002500464998,1.6942052426561307,-1.5570099975115324,0.999966219270897
0.5,4.343,1.0,8,2.718281828459045,1.0,3.733068319237521e-06,1.5622002500464998,0.003359761487313768,-1.5570099975115324,0.999966219270897
